let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"PROCENTRIX, LLC",83024967.66,USA,"2551 DULLES VIEW DR STE 600",HERNDON,FAIRFAX,VA,201716502,38.94982,-77.428054,1,rooftop,"2551 Dulles View Dr","Ste 600","Herndon, VA 20171",2551,"Dulles View Dr",Ste,600,Herndon,VA,"Fairfax County",20171,US,Fairfax
"SAVANTAGE FINANCIAL SERVICES, INC.",70920526.75,USA,"2101 GAITHER RD STE 350",ROCKVILLE,MONTGOMERY,MD,208504074,39.117769,-77.181984,1,rooftop,"2101 Gaither Rd","Ste 350","Rockville, MD 20850",2101,"Gaither Rd",Ste,350,Rockville,MD,"Montgomery County",20850,US,Montgomery
"MOTOROLA SOLUTIONS, INC.",63465439.65,USA,"809 PINNACLE DR STE G","LINTHICUM HEIGHTS","ANNE ARUNDEL",MD,210902535,39.212405,-76.681495,1,rooftop,"809 Pinnacle Dr","Ste G","Linthicum Heights, MD 21090",809,"Pinnacle Dr",Ste,G,"Linthicum Heights",MD,"Anne Arundel County",21090,US,"Anne Arundel (Anne Arundel County)"
"HARMONIA HOLDINGS GROUP, LLC",62679763.92,USA,"2020 KRAFT DR STE 2400",BLACKSBURG,MONTGOMERY,VA,240606569,37.200018,-80.410661,1,rooftop,"2020 Kraft Dr SW","Ste 2400","Blacksburg, VA 24060",2020,"Kraft Dr SW",Ste,2400,Blacksburg,VA,"Montgomery County",24060,US,"Town of Blacksburg"
"ITC FEDERAL, LLC",61928618.25,USA,"4114 LEGATO RD",FAIRFAX,FAIRFAX,VA,220334057,38.862699,-77.364314,1,rooftop,"4114 Legato Rd",,"Fairfax, VA 22033",4114,"Legato Rd",,,Fairfax,VA,"Fairfax County",22033,US,Fairfax
"NATIVE ENERGY & TECHNOLOGY INC",60769027.39,USA,"12830 COGBURN","SAN ANTONIO",BEXAR,TX,782492230,29.566249,-98.599133,1,rooftop,"12830 Cogburn",,"San Antonio, TX 78249",12830,Cogburn,,,"San Antonio",TX,"Bexar County",78249,US,"City of San Antonio"
"AIRCRAFT TRANSPORT SERVICES, INC.",55135016.45,USA,"4285 SW MARTIN HWY","PALM CITY",MARTIN,FL,349908615,27.162203,-80.3128,1,rooftop,"4285 SW Martin Hwy",,"Palm City, FL 34990",4285,"SW Martin Hwy",,,"Palm City",FL,"Martin County",34990,US,Martin
"DELL FEDERAL SYSTEMS L.P",53330095.19,USA,"1 DELL WAY","ROUND ROCK",WILLIAMSON,TX,786827000,30.656817,-97.602552,0.5,place,,,"Round Rock, TX 78682",,,,,"Round Rock",TX,"Williamson County",78682,US,"TIGER/Line® dataset from the US Census Bureau"
"ACUITY INC",52965156.3,USA,"11710 PLAZA AMERICA DR STE 700",RESTON,FAIRFAX,VA,201904773,38.952552,-77.35079,1,rooftop,"11710 Plaza America Dr","Ste 700","Reston, VA 20190",11710,"Plaza America Dr",Ste,700,Reston,VA,"Fairfax County",20190,US,Fairfax
"CHENEGA FACILITIES MANAGEMENT LLC",51590814.6,USA,"5726 W HAUSMAN RD STE 100","SAN ANTONIO",BEXAR,TX,782491651,29.571039,-98.599952,1,rooftop,"5726 W Hausman Rd","Ste 100","San Antonio, TX 78249",5726,"W Hausman Rd",Ste,100,"San Antonio",TX,"Bexar County",78249,US,"City of San Antonio"
