Date,Open,High,Low,Close,Volume
05/29/2025,"27.00","27.42","26.25","26.65","1,529,160"
05/28/2025,"27.57","27.77","26.57","26.93","2,081,216"
05/27/2025,"27.10","27.54","26.77","27.50","1,769,018"
05/23/2025,"26.72","27.05","26.41","26.83","1,550,086"
05/22/2025,"26.88","27.43","26.70","27.08","2,046,952"
05/21/2025,"26.94","27.64","26.64","26.70","2,357,119"
05/20/2025,"27.52","27.87","26.95","27.15","1,808,578"
05/19/2025,"26.42","27.58","26.40","27.55","2,191,673"
05/16/2025,"26.95","26.95","26.25","26.37","2,218,565"
05/15/2025,"26.50","27.52","26.31","26.89","3,068,214"
05/14/2025,"26.50","26.57","25.92","26.40","1,887,467"
05/13/2025,"26.16","27.12","26.00","26.59","1,815,522"
05/12/2025,"26.27","26.27","25.07","26.16","4,574,987"
05/09/2025,"26.17","26.32","25.18","25.21","4,272,009"
05/08/2025,"27.56","27.61","26.29","26.30","6,571,307"
05/07/2025,"29.77","30.25","27.12","27.32","9,990,813"
05/06/2025,"30.41","31.26","29.77","30.37","6,326,023"
05/05/2025,"31.65","31.73","31.11","31.36","2,872,237"
05/02/2025,"31.63","32.09","31.28","31.67","2,106,073"
05/01/2025,"31.52","31.99","30.98","31.54","2,493,580"
04/30/2025,"31.00","31.32","29.95","31.28","2,227,346"
04/29/2025,"30.15","31.72","30.12","31.61","3,344,375"
04/28/2025,"30.87","31.44","29.72","30.32","2,589,871"
04/25/2025,"29.84","31.25","29.44","30.58","2,753,005"
04/24/2025,"28.43","30.62","28.43","29.97","3,103,411"
04/23/2025,"29.26","29.75","28.12","28.33","3,398,221"
04/22/2025,"28.98","29.06","28.19","28.66","3,138,102"
04/21/2025,"29.79","30.49","27.81","28.15","3,285,414"
04/17/2025,"29.15","29.82","29.15","29.69","1,912,481"
04/16/2025,"29.59","30.14","28.89","29.07","2,368,772"
04/15/2025,"29.65","30.49","29.50","30.16","2,429,773"
04/14/2025,"29.75","30.25","28.82","29.66","2,703,550"
04/11/2025,"27.32","29.16","27.19","29.01","2,384,256"
04/10/2025,"27.75","28.20","26.42","27.44","2,988,063"
04/09/2025,"26.43","29.46","26.13","28.32","4,253,719"
04/08/2025,"27.94","28.56","26.02","26.37","3,246,121"
04/07/2025,"26.00","28.62","25.39","27.42","5,355,903"
04/04/2025,"27.94","28.50","26.58","27.01","4,247,373"
04/03/2025,"28.00","29.32","27.72","29.04","3,722,541"
04/02/2025,"29.29","30.38","28.75","29.50","3,728,811"
04/01/2025,"28.77","29.93","28.29","29.93","2,263,979"
03/31/2025,"28.70","29.58","28.06","29.21","2,272,983"
03/28/2025,"30.17","30.70","28.88","29.31","2,695,387"
03/27/2025,"28.99","30.51","28.99","30.40","2,679,823"
03/26/2025,"28.80","29.88","28.62","29.64","2,941,320"
03/25/2025,"28.88","29.12","28.46","29.03","1,492,142"
03/24/2025,"28.76","29.22","28.36","29.12","2,043,917"
03/21/2025,"28.78","29.03","28.00","28.23","4,346,598"
03/20/2025,"28.60","29.38","28.27","29.07","3,178,903"
03/19/2025,"26.55","28.55","26.35","28.17","2,913,679"
03/18/2025,"26.17","27.03","25.73","26.43","2,131,852"
03/17/2025,"26.52","26.85","25.80","26.29","2,509,210"
03/14/2025,"25.80","26.83","25.70","26.62","2,462,227"
03/13/2025,"25.77","26.10","25.13","25.55","1,946,049"
03/12/2025,"24.46","26.20","24.06","25.92","4,967,748"
03/11/2025,"22.94","23.78","22.40","23.61","2,358,113"
03/10/2025,"23.41","23.60","22.20","22.92","3,855,035"
03/07/2025,"25.45","25.48","23.38","24.01","4,936,004"
03/06/2025,"25.58","26.66","24.87","25.53","3,997,333"
03/05/2025,"26.95","27.00","25.37","25.68","3,064,384"
03/04/2025,"25.62","26.43","24.81","25.90","2,491,928"
03/03/2025,"27.73","28.34","25.76","26.23","2,620,413"
02/28/2025,"27.00","27.64","26.14","27.36","3,349,129"
02/27/2025,"24.22","28.35","23.75","27.34","5,547,365"
02/26/2025,"25.61","26.54","25.48","25.78","2,064,931"
02/25/2025,"25.25","26.15","24.68","25.84","2,429,273"
02/24/2025,"25.74","26.03","24.76","25.64","2,158,463"
02/21/2025,"26.95","26.99","24.63","25.34","5,485,459"
02/20/2025,"27.55","27.56","26.17","26.74","1,604,363"
02/19/2025,"27.22","27.87","26.68","27.74","1,561,869"
02/18/2025,"27.25","27.51","26.17","27.39","1,988,147"
02/14/2025,"27.73","27.86","26.73","27.26","1,515,133"
02/13/2025,"28.60","29.00","27.63","27.68","1,959,267"
02/12/2025,"27.10","28.69","27.03","28.22","2,217,539"
02/11/2025,"26.85","28.24","25.41","27.22","3,283,071"
02/10/2025,"27.02","27.76","26.75","27.56","2,236,137"
02/07/2025,"27.50","27.68","26.55","26.93","2,232,086"
02/06/2025,"28.41","28.50","27.01","27.52","3,250,212"
02/05/2025,"28.89","29.60","27.60","28.40","4,038,571"
02/04/2025,"30.41","30.61","28.14","28.56","3,853,276"
02/03/2025,"30.72","31.77","30.36","30.97","1,435,735"
01/31/2025,"31.24","31.75","31.02","31.51","2,033,667"
01/30/2025,"31.73","32.25","30.80","31.46","1,665,245"
