recipient_name,total_obligated_amount,Country,Address,County,City,State,Zip4 Code
"FILEONQ, INC",3823576.72,USA,832 INDUSTRY DR,TUKWILA,KING,WA,981883410
STARSIDE SECURITY & INVESTIGATION INC,3796915.73,USA,1370 VALLEY VISTA DR STE 200,DIAMOND BAR,LOS ANGELES,CA,917653921
"GUARDIAN CENTERS OF GEORGIA, LLC",3744284.8,USA,600 PERRY PARKWAY,PERRY,HOUSTON,GA,310692446
SURVPATH LLC,3698867.34,USA,4695 MILLENNIUM DR,BELCAMP,HARFORD,MD,210171505
"DIGNARI, LLC",3691740.76,USA,2509 E RANDOLPH AVE,ALEXANDRIA,ALEXANDRIA (CITY),VA,223011135
"BABEL STREET, INC.",3681061,USA,1818 LIBRARY ST STE 500,RESTON,FAIRFAX,VA,201906274
OLIN WINCHESTER LLC,3590754.87,USA,600 POWDER MILL RD,EAST ALTON,MADISON,IL,620241273
ARC - IMPERIAL VALLEY,3501179.01,USA,298 E ROSS AVE,EL CENTRO,IMPERIAL,CA,922439303
COBWEBS AMERICA INC,3484242.5,USA,1441 BROADWAY FL 5,NEW YORK,NEW YORK,NY,100181905
D&G SUPPORT SERVICES LLC,3481491.96,USA,3460 COMMISSION CT STE 201,WOODBRIDGE,PRINCE WILLIAM,VA,221921795
NEOSTEK INC,3429176.76,USA,3033 WILSON BLVD,ARLINGTON,ARLINGTON,VA,222013868
"CLEARVIEW AI, INC.",3390000,USA,214 W 29TH ST # 2A-110,NEW YORK,NEW YORK,NY,100015203
AMDEX CORPORATION,3373148.49,USA,1395 PICCARD DR STE 200,ROCKVILLE,MONTGOMERY,MD,208504348
"NAR MEDICAL DEPOT, LLC",3343113.72,USA,35 TEDWALL CT,GREER,GREENVILLE,SC,296504791
"SHINE SYSTEMS, LLC",3329193.84,USA,207 COLLINS AVE,LURAY,PAGE,VA,228352113
SILVER LAKE CONSTRUCTION LLC,3215874.1,USA,116 N BAILEY LN STE F,PURCELLVILLE,LOUDOUN,VA,201326003
AMERICAN INSTITUTE IN TAIWAN,3151523.14,USA,1700 N MOORE ST STE 1700,ARLINGTON,ARLINGTON,VA,222091913
ATTAINX INC.,3116772.29,USA,"2000 KRAFT DRIVE, SUITE 1209",BLACKSBURG,MONTGOMERY,VA,240606703
CALLYO 2009 CORP,3073000,USA,402 N DIVISION ST,CARSON CITY,CARSON CITY (CITY),NV,897034168
FEDRATECH LLC,3038071.8,USA,4229 LAFAYETTE CENTER DR STE 1700,CHANTILLY,FAIRFAX,VA,201511267
"TRUETANDEM, LLC",3036215.79,USA,520 HUNTMAR PK DR STE A,HERNDON,FAIRFAX,VA,201705156
"MANAGEMENT CONCEPTS, INC",3024173.64,USA,8230 LEESBURG PIKE STE 800,TYSONS CORNER,FAIRFAX,VA,221822641
TECHSUR SOLUTIONS LLC,2990195.1,USA,205 VAN BUREN ST STE 120,HERNDON,FAIRFAX,VA,201705336
"R3 GOVERNMENT SOLUTIONS, LLC",2979032.88,USA,"4201 WILSON BLVD, 3RD FLOOR",ARLINGTON,ARLINGTON,VA,222034420
BROADPOINT FEDERAL INC,2941692.32,USA,7501 WISCONSIN AVE STE 720,BETHESDA,MONTGOMERY,MD,208146532
"CORRECT CARE OF SOUTH CAROLINA, LLC",2875000,USA,800 FAIRWAY DR STE 490,DEERFIELD BEACH,BROWARD,FL,334411831
ARCH SYSTEMS LLC,2862723.55,USA,1800 WASHINGTON BLVD STE 421,BALTIMORE,BALTIMORE (CITY),MD,212301735
"TACTICAL & SURVIVAL SPECIALTIES, LLC",2843200.08,USA,3900 EARLY RD,HARRISONBURG,HARRISONBURG (CITY),VA,228019788
"PKH ENTERPRISES, LLC",2841387.24,USA,5404 WISCONSIN AVE,CHEVY CHASE,MONTGOMERY,MD,208153573
SIG SAUER INC.,2833297.78,USA,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,38016801
YERKES SOUTH INC.,2768964.92,USA,4799 HINOTE RD,CRESTVIEW,WALTON,FL,325394812
"GARTNER, INC.",2656742.84,USA,56 TOP GALLANT RD,STAMFORD,WESTERN CONNECTICUT,CT,69027700
DEVA & ASSOCIATES PC,2581394.69,USA,1901 RESEARCH BLVD STE 410,ROCKVILLE,MONTGOMERY,MD,208506120
AXUMFED LLC,2562230.84,USA,1765 GREENSBORO STATION PL FL 9,MCLEAN,FAIRFAX,VA,221023472
OLD HARBOR SOLUTIONS LLC,2554255.63,USA,2702 DENALI ST,ANCHORAGE,ANCHORAGE,AK,995032747
KZF DESIGN INC,2534796.41,USA,700 BROADWAY ST,CINCINNATI,HAMILTON,OH,452026011
ARMAG CORP,2496677.8,USA,40 LUCKNOW CT,BARDSTOWN,NELSON,KY,400042113
PEGASUS SUPPORT SERVICES LLC,2490158.1,USA,265 PARKWAY 575,WOODSTOCK,CHEROKEE,GA,301886421
JROGERS CONSULTING LLC,2426730.74,USA,14 ROSECREST AVE,ALEXANDRIA,ALEXANDRIA (CITY),VA,223011528
"DSSP CONSULTING, INC.",2400926.4,USA,137 NATIONAL PLZ STE 300,OXON HILL,PRINCE GEORGE'S,MD,207451153
"SIG SAUER, INC",2375662.01,USA,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,38016801
"AXIS GLOBAL ENTERPRISES, INC.",2372793.85,USA,1439 N GREAT NECK RD STE 100,VIRGINIA BEACH,VIRGINIA BEACH (CITY),VA,234541347
"APPLIED RESEARCH ASSOCIATES, INC.",2269150.26,USA,4300 SAN MATEO BLVD NE STE A-220,ALBUQUERQUE,BERNALILLO,NM,871101295
"PEOPLE, TECHNOLOGY AND PROCESSES, LLC",2257074.33,USA,8621 E DR MARTIN LUTHER KING JR BLVD,TAMPA,HILLSBOROUGH,FL,336107305
"CHILD RESCUE COALITION, INC.",2240000,USA,4530 CONFERENCE WAY S,BOCA RATON,PALM BEACH,FL,334314489
"INFORMATION TECHNOLOGY STRATEGIES, INC.",2168033.17,USA,23392 SUMMERSTOWN PL,STERLING,LOUDOUN,VA,201662178
CREDENCE DYNAMO SOLUTIONS LLC,2070772.71,USA,1951 KIDWELL DR STE 550,VIENNA,FAIRFAX,VA,221823984
CUBE ROOT CORPORATION,2066534.75,USA,1100 H ST NW STE 805,WASHINGTON,DISTRICT OF COLUMBIA,DC,200055482
MICROSOFT CORPORATION,2043232.71,USA,ONE MICROSOFT WAY,REDMOND,KING,WA,980528300
GOVERNMENT ACQUISITIONS INC,2030151.32,USA,2060 READING ROAD,CINCINNATI,HAMILTON,OH,452021400
ALVAREZ LLC,2028799.57,USA,161 FORT EVANS RD NE STE 335,LEESBURG,LOUDOUN,VA,201763375
"AVANI SERVICES, LLC",2018708.45,USA,5003 WARREN ST NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,200164371
"NOBLE SUPPLY & LOGISTICS, LLC",2004772.52,USA,"1 MARINA PARK DRIVE, SUITE 220",BOSTON,SUFFOLK,MA,22101873
PARAGON SOLUTIONS (US) INC,2000000,USA,14900 CONFERENCE CENTER DR,CHANTILLY,FAIRFAX,VA,201513834
"GARUD TECHNOLOGY SERVICES, INC.",1991075.84,USA,8815 CENTRE PARK DR STE 320,COLUMBIA,HOWARD,MD,210452284
"KATMAI COMMODITIES, LLC",1984950.19,USA,11001 OMALLEY CENTRE DR,ANCHORAGE,ANCHORAGE,AK,995153096
