Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"WALTON COUNTY JAIL","DEFUNIAK SPRINGS",FL,32433,"USMS IGA",FALSE,COUNTY,,7,08/04/2025,30.742978,-86.134569,1,street_center,"Walton Rd",,"Defuniak Springs, FL 32433",,"Walton Rd",,,"Defuniak Springs",FL,"Walton County",32433,US,"TIGER/Line® dataset from the US Census Bureau"
"BROOME COUNTY JAIL",BINGHAMTON,NY,13905,IGSA,FALSE,COUNTY,,6,08/04/2025,42.098771,-75.894558,0.99,street_center,"Broome St",,"Binghamton, NY 13903",,"Broome St",,,Binghamton,NY,"Broome County",13903,US,"TIGER/Line® dataset from the US Census Bureau"
"CASS COUNTY JAIL",PLATTSMOUTH,NE,68048,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,40.971961,-96.001244,1,place,,,"Plattsmouth, NE 68048",,,,,Plattsmouth,NE,"Cass County",68048,US,"TIGER/Line® dataset from the US Census Bureau"
"CLINTON COUNTY JAIL",PLATTSBURGH,NY,12901,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,44.698015,-73.453787,1,street_center,"Clinton St",,"Plattsburgh, NY 12901",,"Clinton St",,,Plattsburgh,NY,"Clinton County",12901,US,"TIGER/Line® dataset from the US Census Bureau"
"CLINTON COUNTY JAIL",FRANKFORT,IN,46041,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,40.280447,-86.51552,0.92,street_center,"W Clinton St",,"Frankfort, IN 46041",,"W Clinton St",,,Frankfort,IN,"Clinton County",46041,US,"TIGER/Line® dataset from the US Census Bureau"
"GRAND FORKS COUNTY CORRECTIONAL FACILITY","GRAND FORKS",ND,58203,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,47.500984,-97.372312,0.89,street_center,"Grand Forks Ave",,"Portland, ND 58274",,"Grand Forks Ave",,,Portland,ND,"Traill County",58274,US,"TIGER/Line® dataset from the US Census Bureau"
"MADISON COUNTY JAIL",CANTON,MS,39046,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,32.611965,-90.023099,0.92,street_center,"S Madison St",,"Canton, MS 39046",,"S Madison St",,,Canton,MS,"Madison County",39046,US,"TIGER/Line® dataset from the US Census Bureau"
"SALT LAKE COUNTY METRO JAIL","SALT LAKE CITY",UT,84119,"USMS IGA",FALSE,COUNTY,,6,08/04/2025,40.687828,-111.917523,0.9,street_center,"Salt River Way",,"Salt Lake City, UT 84119",,"Salt River Way",,,"Salt Lake City",UT,"Salt Lake County",84119,US,"TIGER/Line® dataset from the US Census Bureau"
"ALLEGANY COUNTY JAIL",BELMONT,NY,14813,IGSA,FALSE,COUNTY,,5,08/04/2025,42.242168,-77.963148,1,place,,,"Belmont, NY 14813",,,,,Belmont,NY,"Allegany County",14813,US,"TIGER/Line® dataset from the US Census Bureau"
"BURLEIGH COUNTY",BISMARCK,ND,58502,"USMS IGA",FALSE,COUNTY,,5,08/04/2025,46.765554,-100.783133,0.99,street_center,"Burleigh Dr",,"Bismarck, ND 58504",,"Burleigh Dr",,,Bismarck,ND,"Burleigh County",58504,US,"TIGER/Line® dataset from the US Census Bureau"
"JEFFERSON COUNTY JAIL",RIGBY,ID,83442,IGSA,FALSE,COUNTY,,5,08/04/2025,43.692206,-111.889325,1,place,,,"Rigby, ID 83442",,,,,Rigby,ID,"Jefferson County",83442,US,"TIGER/Line® dataset from the US Census Bureau"
"ANCHORAGE CORRECTIONAL COMPLEX",ANCHORAGE,AK,99501,"USMS IGA",FALSE,STATE,,4,08/04/2025,61.220018,-149.855702,1,place,,,"Anchorage, AK 99501",,,,,Anchorage,AK,"Anchorage Municipality",99501,US,"TIGER/Line® dataset from the US Census Bureau"
"LEXINGTON COUNTY JAIL",LEXINGTON,SC,29072,"USMS IGA",FALSE,COUNTY,,4,08/04/2025,33.976907,-81.253034,1,place,,,"Lexington, SC 29072",,,,,Lexington,SC,"Lexington County",29072,US,"TIGER/Line® dataset from the US Census Bureau"
"NATRONA COUNTY JAIL",CASPER,WY,82601,"USMS IGA",FALSE,COUNTY,,4,08/04/2025,42.850603,-106.384327,0.89,street_center,"Natrona Ave",,"Mills, WY 82644",,"Natrona Ave",,,Mills,WY,"Natrona County",82644,US,"TIGER/Line® dataset from the US Census Bureau"
"NORTHERN REGIONAL JAIL",MOUNDSVILLE,WV,26041,IGSA,FALSE,COUNTY,,4,08/04/2025,39.916748,-80.737134,1,place,,,"Moundsville, WV 26041",,,,,Moundsville,WV,"Marshall County",26041,US,"TIGER/Line® dataset from the US Census Bureau"
